TRAF3IP2	3.12794	2.90258
PGS1	3.59052	3.813
PPP2R3C	3.7018	3.12777
KIAA0391	3.7018	3.12777
PSMA6	3.51409	3.87087
ERRFI1	90.2072	3.56344
TNFAIP3	3.61959	3.58469
RNF114	3.25795	4.65847
SMARCA4	230.259	4.48764
LDLR	107.079	4.3386
YIPF2	4.96234	3.86941
LRRC32	4.77217	3.82649
C19orf52	4.96234	3.86941
CARM1	3.26275	3.53212
RNF145	3.9635	3.38941
TNIP1	3.81507	3.21957
WDR66	3.71121	3.24631
LRRC43	6.77515	4.42202
TCHH	6.40395	3.11454
SPC24	3.05878	3.92072
REL	5.44838	4.38397
LCE3D	4.0045	4.24152
EBF1	3.17183	3.16981
UBLCP1	4.1266	4.5369
KIAA1919	3.12794	2.90258
PTPN2	3.52887	4.16463
MLXIP	4.23284	4.3639
B3GNT4	4.56752	4.32859
TBL1XR1	4.16792	3.56603
SOCS3	3.81891	4.15549
IFNLR1	4.37867	4.89827
LCE3A	4.0045	4.24152
LCE1E	3.24181	3.07738
DNAH17	5.48328	3.74865
GM2A	6.46637	3.41769
ANXA6	4.3716	3.78695
KANK2	4.92208	3.79365
SLC9A8	5.91896	4.05434
CCDC69	5.31892	3.44534
ENSG00000200063	3.59052	3.813
ENSG00000200344	9.63809	3.34162
ENSG00000204277	3.95099	3.67875
IL31	230.259	4.93656
RNU6-147P	4.16069	3.63906
ENSG00000207300	4.24091	4.2266
GPX3	4.65454	3.85895
ENSG00000216097	3.24168	4.01279
ENSG00000220412	6.24044	3.46352
RNU4ATAC2P	4.58564	3.35206
ENSG00000225820	8.05492	3.3133
ENSG00000226716	3.86762	3.01134
ENSG00000226782	3.12261	3.02317
LINC01185	5.44838	4.38397
KRT18P4	4.35177	4.97231
ENSG00000231046	3.12794	2.90258
TRERNA1	230.259	4.30446
TBL1XR1-AS1	5.1344	3.92999
ENSG00000232848	11.3857	3.55078
ENSG00000233645	4.06976	3.89901
HDHD1P2	5.8165	3.14382
ENSG00000235842	3.73545	3.59641
ENSG00000236304	4.1544	3.88905
RPL21P33	5.71127	4.46736
ENSG00000237499	4.76333	3.46741
FLG-AS1	3.91645	3.06673
ENSG00000238167	3.46337	4.52136
ENSG00000238290	230.259	3.70487
ENSG00000239157	3.25795	4.65847
RN7SL632P	5.32819	4.67909
SPRR2A	3.24181	3.07738
ENSG00000242219	158.111	4.65805
UBE2V1	4.2801	3.64975
ENSG00000249738	5.48676	3.41578
RNU6-991P	4.37608	4.76667
ENSG00000254298	5.0484	3.77647
ENSG00000254755	5.33013	3.88205
ENSG00000254810	4.1544	3.88905
ENSG00000254975	4.77217	3.82649
ENSG00000256950	3.40109	3.05898
ENSG00000258790	3.7018	3.12777
